sample_id,codice_caseificio,data_seduta,anno,n_immagini_fetta,n_immagini_grana,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,n_panelisti,flag_dati_incompleti,note_qualita,commenti_profumo,commenti_sapore,commenti_aroma,commenti_texture,commenti_struttura_pasta,commenti_colore_pasta,commenti_spessore_crosta,punteggio_profumo,punteggio_sapore,punteggio_aroma,punteggio_texture,punteggio_struttura_pasta,punteggio_colore_pasta,punteggio_spessore_crosta,punteggio_complessivo
TN326_2022-06-01,TN326,2022-06-01,2021,2,2,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-01_Seduta_27/P6a_TN326_534_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-01_Seduta_27/P6a_TN326_534_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P6a_TN326_534_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P6b_TN326_534_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P6a_TN326_534_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P6b_TN326_534_Grana.bmp""]",2,False,Nessun commento Profumo; Nessun commento Sapore; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,[],[],"[""Polveroso""]","[""Asciutto""]",[],[],[],,,,,,,,
TN306_2019-01-09,TN306,2019-01-09,2018,2,2,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-01-09/P1a_306_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-01-09/P1a_306_grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-01-09\\P1a_306_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-01-09\\P1b_306_fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-01-09\\P1a_306_grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-01-09\\P1b_306_grana.bmp""]",10,False,,"[""fungo;muffa"", ""cotto leggero"", ""prima olfazione>odore sgradevole verso animale. il resto e' sfondo"", ""latte cotto"", ""burro fuso,panna, burro"", ""brodo vegetale"", ""yogurt, frutta tropicale"", ""lattico dominante, burro fuso, burro cotto, nota di brodo, poco complesso ma abbastanza intenso"", ""note forti tostate e emmenthal/grana"", ""leggermente pungente""]","[""amaro piccante persistente"", ""non dolce. Amaro. Poco complesso e rotondo, ma senza eccessi"", ""nella norma"", ""salato umami e piccante ben equilibrato"", ""crosta di formaggio"", ""equilibrato"", ""tendenzialmente dolce con sapadit' media, umami contenuto, poco piccante"", ""sapidità eccessiva e acidulo"", ""acido amaro""]","[""fungo;muffa"", ""formaggio cotto"", ""sa di altro, non di grana trentino"", ""nella norma"", ""burro, burro fuso"", ""crosta di formaggio, formaggio bruciato"", ""di latte cotto, leggero e poca persistenza"", ""come al naso, lattico dominante e caratteristico di latte cotto e burro cotto, forse un po monocorde"", ""strano, non molto piacevole, grasso"", ""nella norma""]","[""morbido con cristalli ben evidenti asciutto all'inizio tende un po ad impastrare e lascia un po di residuo"", ""friabile, asciutto ma non troppo. Microstruttura abbastanza fine. cristalli non numerosissimi, presenti. impasta e ingozza nel finale"", ""nella norma"", ""durezza buona struttura e microstrutture ottimali, permane in bocca con struttura e non si impasta"", ""inconsistente e senza cristalli"", ""un po- adesiva"", ""granuloso, solubile, mediamente duro, buona presenza di microcristalli, molto gradevole"", ""molto asciutto e pastoso"", ""granuloso leggermente pastoso""]","[""Non omogenea e granulosa Presenza di occhiatura e microocchiatura concentrata su meta forma Frattura abbastanza omogenea"", ""Fitta microocchiatura 1 mm su tutta la forma in un lato più grandi 2 mm al centro da effetto spugna"", ""Occhiatura diffusa e di dimensione. Stiratura centrale.. Granuloso. Frattura solo discreta"", ""Presenza di microocchitura"", ""nella norma"", ""Occhiatura centrale con occhi oltre 2 mm su di un lato"", ""Spugna centrale evidente e sfoglia centrale"", ""Frattura abbastanza bella, grana presente con qualche andamento striato, presenza diffusa di occhiatura micro e media su una parte consistente"", ""Grana ben presente ma microochhiature elevate"", ""Granuli belli ma occhiatura diffusa anche grossi""]","[""Più carico al centro"", ""Evidente alone scuro che tende al rosato nelle zone centrali con la fitta microocchiatura"", ""Chiaro ed omogeneo"", ""Colorazione omogenea"", ""nella norma"", ""Giallo paglierino"", ""Al centro più carico tendente al rosa"", ""Giallo omogeneo abbastanza carico"", ""Colorazione omogenea con tonalità giallo carico"", ""Chiara uniforme macchie risa""]","[""Spessore medio scalzo e piatto 8mm Spigoli 18mm minimo"", ""0,8 ma su un lato il colore e scuro ed è netto il passaggio"", ""Limite netto. Crosta sottile"", ""Regolare sotto 1 cm"", ""Più spessa su di un piatto"", ""8. 10 cm"", ""Sottile"", ""Medio basso..8 mm"", ""Uniforme 1 spigoli fini""]",7.245999999999999,7.204000000000001,6.892,7.372,6.67,7.42,7.76,
TN323_2021-02-03,TN323,2021-02-03,2020,2,2,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-02-03_Seduta_20/P5_TN323_413_FETTA_A.bmp,07_captioning risultati grana Trentino/TrentinGrana/2020-2021_Trentingrana/IV bimestre/2021-02-03_Seduta_20/P5_TN323_413_GRANA_A.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-02-03_Seduta_20\\P5_TN323_413_FETTA_A.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-02-03_Seduta_20\\P5_TN323_413_FETTA_B.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-02-03_Seduta_20\\P5_TN323_413_GRANA_A.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2020-2021_Trentingrana\\IV bimestre\\2021-02-03_Seduta_20\\P5_TN323_413_GRANA_B.bmp""]",5,False,Nessun commento Colore della Pasta,"[""Nota da nostrano"", ""Confetteria""]","[""Amaro netto"", ""Nessuna prevalenza ma acido amaro dolce e piccanti accentuati""]","[""Bella intensità""]","[""Abbastanza solubile, ingozza""]","[""Micro occhiatura diffusa"", ""Molta microocchiatura"", ""Grande area spumosa che copre quasi tutta la superfice""]",[],"[""Sottocrosta con microcchiatura""]",,,,,,,,
TN330_2019-09-25,TN330,2019-09-25,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",6,False,Nessun commento Texture; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Solo una porzione su 4 è fortemente negativa"", ""Poco intenso""]","[""Abbastanza equilibrato""]","[""Prevalgono le note cotte""]",[],"[""Leggermente stirata al centro"", ""Grande strappo centrale lucidando occhio 3 2cm diam"", ""Enorme fessura centrale"", ""Un terzo della forma invece è da 8"", ""Occhio di 1,5cm e fessura di oltre 8 cm""]",[],[],,,,,,,,
TN307_2019-11-13,TN307,2019-11-13,2019,0,0,,,[],[],6,True,Mancano immagini FETTA; Mancano immagini GRANA; Nessun commento Sapore; Nessun commento Aroma; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Ho segnato cuoio ma in realtà ho sentito odore di suola di scarpe, o gomma"", ""Cipolla"", ""Cacao, alito da caffè""]",[],[],"[""Deformabile"", ""No granulosità""]","[""In un angolo sembra molto più umida"", ""Piccola area spagnola della grandezza di una noce""]",[],[],,,,,,,,
TN314_2019-09-25,TN314,2019-09-25,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P3a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P3a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3b_TN314_Grana.bmp""]",1,False,Nessun commento Sapore; Nessun commento Aroma; Nessun commento Texture; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Quasi nota acetica""]",[],[],[],[],[],[],,,,,,,,
TN316_2020-01-29,TN316,2020-01-29,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/IV bimestre/2020-01-29_Seduta_21/P4a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/IV bimestre/2020-01-29_Seduta_21/P4a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\IV bimestre\\2020-01-29_Seduta_21\\P4a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\IV bimestre\\2020-01-29_Seduta_21\\P4b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\IV bimestre\\2020-01-29_Seduta_21\\P4a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\IV bimestre\\2020-01-29_Seduta_21\\P4b_TN316_Grana.bmp""]",6,False,Nessun commento Aroma; Nessun commento Texture; Nessun commento Spessore della Crosta,"[""Buona intensità"", ""Dolce"", ""Poco intenso""]","[""Non dolce. Il resto c'è""]",[],[],"[""Area con pasta ruvida più che gessata"", ""Microocchitura scarsa""]","[""Sotto un piatto pasta disidratata colore biancastro"", ""Alone è rivolto più verso uno dei due piatti""]",[],,,,,,,,
TN313_2022-06-01,TN313,2022-06-01,2021,2,2,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-01_Seduta_27/P4a_TN313_731_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-01_Seduta_27/P4a_TN313_731_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P4a_TN313_731_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P4b_TN313_731_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P4a_TN313_731_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-01_Seduta_27\\P4b_TN313_731_Grana.bmp""]",0,True,Nessun commento,[],[],[],[],[],[],[],,,,,,,,
TN338_2019-03-26,TN338,2019-03-26,2018,2,2,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-26/P6a_338_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-26/P6a_338_grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-26\\P6a_338_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-26\\P6b_338_fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-26\\P6a_338_grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-26\\P6b_338_grana.bmp""]",7,False,,"[""fermentato, yogurt ne negativi ne positivi"", ""leggero"", ""leggero e sa di emmental"", ""latte cotto e panna"", ""abbastanza blano, privo di aromi, se non leggeremte burro cotto"", ""semplice, lattico di panna, nota di formaggino"", ""emmental""]","[""equilibrato"", ""Non sgradevole, ma non lo riconosco come grana. troppo forti odori e consistenze"", ""poco salato"", ""leggera predominanza umami"", ""dolce, sapidità medio bassa, con nota amara"", ""amaro""]","[""yogurt, tostato leggero intensità leggera"", ""latte non da grana"", ""burro"", ""formaggio cotto e burro fuso"", ""poco intenso, grasso, note lattiche di panna con formaggio fuso, formaggino""]","[""solubilità e friabilità molto scarse"", ""morbido e deformabili non granuloso non firabiole impasta pochi cristalli e poco solubile"", ""plastico, ingozza"", ""poco friabile, molto morbido, assenza di critalli, microstruttura finissima"", ""e' un grana giovane da pasto"", ""adesivo, poco granuloso""]","[""Stirata con qualche occhietti sparso"", ""Stirata con piccoli occhi sparsi 2 o 3 mm"", ""[REVIEW: punteggio basso senza commento]"", ""Frattura regolare ma estremamente stirato e qualche microocchitura"", ""Completamente stirata, non granulosa, con alcune occhiatura > 3 mm"", ""Non c'è ci sono solo occhi e stiratute""]","[""Leggermente Sfumato"", ""Molto carico ma omogeneo"", ""Carico di giallo. Bel colore da sbrinz"", ""Giallo saturo"", ""Giallo chiaro omogeneo"", ""Giallo molto carico""]","[""Crosta sfumata spigoli accentuati Media 10mm"", ""Poco contrasto dato l'ok colore di fondo carico"", ""nella norma"", ""nella norma"", ""Grossa ed evidente""]",6.562857142857142,6.622857142857143,6.545714285714285,5.285714285714286,5.0,6.528571428571429,6.242857142857143,
TN319_2020-09-02,TN319,2020-09-02,2020,0,0,,,[],[],2,True,Mancano immagini FETTA; Mancano immagini GRANA; Nessun commento Sapore; Nessun commento Aroma; Nessun commento Texture; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Molto diverso alle apertura e spezzando i pezzi. Fresco prima, più stagionato poi"", ""Poco intenso""]",[],[],[],[],[],[],,,,,,,,
TN305_2019-12-11,TN305,2019-12-11,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-12-11_Seduta_16/P2a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-12-11_Seduta_16/P2a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P2a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P2b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P2a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-12-11_Seduta_16\\P2b_TN305_Grana.bmp""]",3,False,Nessun commento Sapore; Nessun commento Aroma; Nessun commento Struttura della Pasta; Nessun commento Spessore della Crosta,"[""Caffè""]",[],[],"[""Solubile""]",[],"[""Alone tendente al rosato""]",[],,,,,,,,
TN316_2019-03-20,TN316,2019-03-20,2018,2,2,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-20/P5a_316_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2019-03-20/P5a_316_grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-20\\P5a_316_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-20\\P5b_316_fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-20\\P5a_316_grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2019-03-20\\P5b_316_grana.bmp""]",8,False,,"[""nella norma"", ""burro fuso"", ""panna"", ""caratteristico ma con lieve nota pungente""]","[""nella norma"", ""leggermente salato e piccante"", ""umami. equilibrato"", ""leggero amaro da subito"", ""sapidità elevata, umami ok, piccantezza marcata"", ""salato""]","[""latte animale/letame poco da grana"", ""nella norma"", ""nella norma"", ""nella norma"", ""burro fuso"", ""lattici cotti, tostati, erbaceo, brodo vegetale e animale"", ""lattico evoluto, burro fuso, fieno, brodo, caratteristico"", ""nella norma""]","[""asciutto morbibo poco granuloso e poco solubile"", ""nella norma"", ""nella norma"", ""solubile e granuloso. piacevole"", ""compatto"", ""granulosa, solubile, un po asciutta, a tratti pi\\ umida"", ""cristalli""]","[""Fitta occhiatura"", ""Striata e spugnosa"", ""Microocch diffusa, piccole zone stirate"", ""Struttura stirata con presenza di microocchiatura centrale che conferisce aspetto spugnoso"", ""Micro occhiatura diffusa"", ""Spugnosa a tratti è stirata"", ""Stirata bocciatura in zona ampia centrale non uniformemente formata""]","[""Colore carico banda più chiara sotto un piatto è per più scura nella zona centrale con la fittà microcch"", ""[REVIEW: punteggio alto senza commento]"", ""nella norma"", ""Colore carico, quasi arancio"", ""Leggermente non omogenea"", ""Giallo un Po carico ma omogeneo"", ""Giallo chiaro uniforme""]","[""1,1"", ""nella norma"", ""Sottocrosta importante soprattutto su un piatto"", ""11 12"", ""nella norma""]",7.577500000000001,7.292499999999999,7.2325,7.3525,6.4375,7.5,7.0625,
TN319_2020-11-19,TN319,2020-11-19,2020,0,0,,,[],[],2,True,Mancano immagini FETTA; Mancano immagini GRANA; Nessun commento Sapore,"[""Alcool""]",[],"[""Si, vi avevo detto che sono raffreddato. Nel mangiarlo e nel sentire l'aroma mi è arrivata un sentore non tipico di formaggio grana, chiamo gorgonzola""]","[""Leggermente asciutto!""]","[""Struttura immatura, disomogenea, non compiuta"", ""1 fessura piccolal""]","[""Alone lievissimo o ossidazione""]","[""Fine!""]",,,,,,,,
TN323_2018-10-31,TN323,2018-10-31,2018,2,2,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P5a_323_fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P5a_323_grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-31\\P5a_323_fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-31\\P5b_323_fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-31\\P5a_323_grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2018-2019_Trentingrana\\2018-10-31\\P5b_323_grana.bmp""]",11,False,,"[""non particolarmente intenso, piatto, note animali e di paglia, a tratti di acqua ristagnante"", ""burrro fuso, latte"", ""nella norma"", ""profumo molto delicato, quasi impercettibile"", ""panna, vaniglia, frutta, farina"", ""leggermente difettoso"", ""crosta e cotto"", ""una nota di stalla, formaggio cotto, tanto, e burro. discreta l-intensità"", ""note fermentative, insilato e kiwi stramaturo, non piacevole"", ""animale stallatico""]","[""dolcezza evidente, sapidità ok, umami marcato, piccante ok, nel complesso abbastanza equilibrato"", ""nella norma"", ""nella norma"", ""nella norma"", ""neutro"", ""umami, dolce"", ""equilib dolce"", ""nella norma"", ""equilibrato verso il basso"", ""medio equilibrio con note anche dolciastre"", ""amaro""]","[""non sempre pulito in bocca, alle note tipiche si affiancano su alcune porzioni note animali poco gradevoli"", ""nessun aroma percepito molto neutro"", ""vegetale"", ""nella norma"", ""poco caratteristico, poco aroma"", ""nella norma"", ""cotto"", ""quanta stalla, signora mia!"", ""burro/brodo vegetale""]","[""granulosa, solubile, abbastanza asciutta"", ""senza struttura e cristalli"", ""impasta asciutto poco granuloso poco solubile qualche cristallo"", ""pastoso in bocca, poco solubile"", ""compatto, un po' adesivo, poco friabile e poco solubile"", ""pastoso cristalli"", ""grana fine, sciutto e pastoso, morbido"", ""troppo morbido astrutturato. sembra la pasta dell emmental"", ""asciutto, troppo pastoso e poco friabile, cristalli medii"", ""duro ma da pasta stirata""]","[""Mista con parte centrale stirata"", ""Frattura regolare ma struttura Disomogenea zone stirate"", ""Disomogenea perché stirata al centro. In alcuni punti struttura assente"", ""Molto stirata scarsa grana"", ""Pasta stirata"", ""Spinosa, stirata, senza grana"", ""Stirata e poca grana a tratti"", ""Difettosa, stirata"", ""Leggermente stirata con presenza di grana grossolana"", ""Stirata poco presente occhi""]","[""Alone centrale molto evidente"", ""Evidente alone scuro"", ""Bi color. Al centro molto saturo"", ""Ampia macchia interna rosa"", ""Alone centrale"", ""Alone centrale marcato"", ""Vistoso alone centrale più scuro"", ""Deciso alone centrale aranciato"", ""Evidente alone centrale colore nocciola"", ""Molto presente un alone centrale!"", ""Macchia molto scura al centro""]","[""Evidente Minimo 10mm"", ""12"", ""Sempre superiore ai 12 mm"", ""Piatto sottile lato abbondante"", ""nella norma"", ""1 cm"", ""nella norma"", ""Intenso, difetto che dall'esterno entra nellunghia"", ""più spesso della media"", ""Molto variabile da piatto a scalzi. Media 12"", ""Spigoli grossolana""]",6.776363636363637,7.169090909090909,6.672727272727273,6.241818181818181,6.2,5.809090909090909,6.654545454545455,
TN306_2019-09-25,TN306,2019-09-25,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P2b_TN306_Grana.bmp""]",6,False,Nessun commento Profumo; Nessun commento Aroma; Nessun commento Texture; Nessun commento Colore della Pasta,[],"[""Lievissima nota amara""]",[],[],"[""Uno strappo profondo di 10 cm"", ""Non considero lo spacco"", ""Enorme fessura centrale"", ""Fessura di oltre 6 cm""]",[],"[""Pulita""]",,,,,,,,
TN326_2022-06-15,TN326,2022-06-15,2021,2,2,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-15_Seduta_29/P5a_TN326_739_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2021-2022_Trentingrana/2022-06-15_Seduta_29/P5a_TN326_739_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-15_Seduta_29\\P5a_TN326_739_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-15_Seduta_29\\P5b_TN326_739_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-15_Seduta_29\\P5a_TN326_739_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2021-2022_Trentingrana\\2022-06-15_Seduta_29\\P5b_TN326_739_Grana.bmp""]",1,False,Nessun commento Profumo; Nessun commento Sapore; Nessun commento Aroma; Nessun commento Texture; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,[],[],[],[],"[""Struttura a Scaglie su un lato""]",[],[],,,,,,,,
TN302_2019-11-27,TN302,2019-11-27,2019,2,2,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P1a_TN302_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P1a_TN302_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P1a_TN302_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P1b_TN302_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P1a_TN302_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P1b_TN302_Grana.bmp""]",3,False,Nessun commento Sapore; Nessun commento Aroma; Nessun commento Struttura della Pasta; Nessun commento Colore della Pasta; Nessun commento Spessore della Crosta,"[""Leggero"", ""Poco intenso""]",[],[],"[""Non friabile"", ""Senza grana""]",[],[],[],,,,,,,,
