attributo,id,commento_raw,caption,nuova_caption
Sapore,108,"Incompleto: no umani, no dolce","Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.","Il sapore risulta incompleto, privo delle componenti umami e dolce attese."
Sapore,109,Amati e sale evidenti,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore presenta componenti amare e salate evidenti.
Sapore,110,Non dolce,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza che persiste piacevolmente in bocca.",Il sapore non presenta la componente dolce attesa.
Sapore,242,Equilibrato con sapidità,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata.","Il sapore si presenta equilibrato, con una sapidità marcata."
Sapore,325,leggermente acido,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera acidità.",Il sapore presenta una leggera acidità.
Sapore,661,legg dolce,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata.",Il sapore presenta una leggera dolcezza.
Sapore,863,"piccante, salato, amaro","Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza e una nota amarognola.","Il sapore presenta piccantezza, sapidità e una nota amara."
Sapore,1041,dolce;leggermente piccante;umami;,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata, una leggera piccantezza e una nota di umami.","Il sapore è dolce, leggermente piccante, con una nota umami."
Sapore,1361,"sapidita prevalente seguita subito dalla docezza, nel complesso abbastanza ecquilibrato","Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata.","Il sapore presenta una sapidità prevalente seguita dalla dolcezza, risultando nel complesso abbastanza equilibrato."
Sapore,1366,leggermente salato e dolce,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata.",Il sapore si presenta leggermente salato e con una nota dolce.
Sapore,1368,umami leggermente intenso,"Il sapore del Grana Trentino DOP si presenta equilibrato, con una dolcezza delicata e una sapidità marcata, accompagnata da una leggera piccantezza.",Il sapore presenta una componente umami leggermente intensa.
Spessore della Crosta,2,Pulita,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",La crosta si presenta di colore chiaro.
Spessore della Crosta,5,Pulita,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",La crosta si presenta di colore chiaro.
Spessore della Crosta,12,Chiaro,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",La crosta si presenta di colore chiaro.
Spessore della Crosta,14,Molto chiaro,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",La crosta si presenta di colore molto chiaro.
Spessore della Crosta,205,12 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (12 mm).
Spessore della Crosta,283,1cm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (10 mm).
Spessore della Crosta,322,10 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (10 mm).
Spessore della Crosta,336,10 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (10 mm).
Spessore della Crosta,361,10 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (10 mm).
Spessore della Crosta,388,Sottile,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",La crosta si presenta sottile.
Spessore della Crosta,429,10 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (10 mm).
Spessore della Crosta,435,12 mm,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Lo spessore della crosta e nella norma (12 mm).
