id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
21,FUORI_ATTRIBUTO,Non ha granulosità.,Senza granulosità,Senza granulosità,2019,C0A,TG_19
22,FUORI_ATTRIBUTO,Assenza di granulosità.,Non granulosità,Non granulosità,2019,C0I,TG_19
23,FUORI_ATTRIBUTO,Non ci sono granulosità.,No granulosità,No granulosità,2019,C0E,TG_19
24,FUORI_ATTRIBUTO,È solubile.,Solubile,Solubile,2019,C0I,Q_02
25,FUORI_ATTRIBUTO,È deformabile.,Deformabile,Deformabile,2019,C0G,Q_09
26,FUORI_ATTRIBUTO,Manca di cristalli.,Manca di cristalli,Manca di cristalli,2019,C0G,TG_08
27,FUORI_ATTRIBUTO,È completamente privo di cristalli.,Manca completamente di cristalli,Manca completamente di cristalli,2019,C0R,TG_08
28,FUORI_ATTRIBUTO,Ha poca grana.,Poca grana,Poca grana,2019,C0G,TG_19
29,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2019,C0O,TG_19
30,OK,"Il campione presenta una pasta compatta, con poca grana.","Compatto, poca grana","Compatto, poca grana",2019,C0R,TG_19
31,FUORI_ATTRIBUTO,Non è friabile.,Non friabile,Non friabile,2019,C0A,Q_09
32,FUORI_ATTRIBUTO,Non è friabile.,Non friabile,Non friabile,2019,C0C,Q_09
33,FUORI_ATTRIBUTO,Non presenta grana.,Senza grana,Senza grana,2019,C0A,TG_19
34,OK,"Il campione presenta una pasta compatta, poco friabile.","Compatto, poco friabile","Compatto, poco friabile",2019,C0N,TG_19
35,FUORI_ATTRIBUTO,Ci sono pochi cristalli.,Pochi cristalli,Pochi cristalli,2019,C0M,TG_24
36,FUORI_ATTRIBUTO,Ci sono pochi cristalli.,Pochi cristalli,Pochi cristalli,2019,C0P,TG_24
37,OK,Il campione presenta una pasta molto compatta.,Molto compatto,Molto compatto,2019,C0H,TG_19
38,FUORI_ATTRIBUTO,"È compatto, non friabile e senza grana.","Compatto,non friabile,senza grana","Compatto,non friabile,senza grana",2019,C0P,TG_19
39,FUORI_ATTRIBUTO,Non presenta grana.,Senza grana,Senza grana,2019,C0E,TG_19
40,FUORI_ATTRIBUTO,Senza grana,Senza grana,Senza grana,2019,C0D,TG_19
41,FUORI_ATTRIBUTO,Senza grana,Senza grana,Senza grana,2019,C0I,TG_19
42,FUORI_ATTRIBUTO,"Sono molto freddi, strutturati poco friabili ma deformabili",Sono molto freddi struttur poco friabile ma deformabile,Sono molto freddi struttur poco friabile ma deformabile,2019,C0E,Q_09
43,ILLEGGIBILE,,Molto intressante,Molto intressante,2019,C0D,TG_24
44,FUORI_ATTRIBUTO,Pochi cristalli,Pochi cristalli,Pochi cristalli,2019,C0E,TG_24
45,OK,"Il campione presenta una pasta solubile, con una buona capacità di sciogliersi.",Solubile,Solubile,2019,C0C,Q_02
46,FUORI_ATTRIBUTO,Poco granuloso e deformabile,Poco granuloso  deformabile,Poco granuloso  deformabile,2019,C0A,Q_09
47,FUORI_ATTRIBUTO,Non granuloso,Non granuloso,Non granuloso,2019,C0O,Q_09
48,FUORI_ATTRIBUTO,Nessun cristallo e nessuna grana,"No cristalli,no grana","No cristalli,no grana",2019,C0A,TG_19
49,OK,Il campione non presenta granulosità e si scioglie bene.,"Non granulosa, si scioglie","Non granulosa, si scioglie",2019,C0D,TG_19
50,OK,"Il campione presenta una pasta compatta e friabile, con una microocchiatura uniforme.",Compatto,Compatto,2019,C0M,TG_19
51,OK,"Il campione è compatto, non presenta granulosità e risulta non friabile.","Compatto,non granulosa,non friabile","Compatto,non granulosa,non friabile",2019,C0O,TG_19
52,FUORI_ATTRIBUTO,Forse pochi cristalli,Forse pochi cristalli,Forse pochi cristalli,2019,C0M,TG_24
53,OK,"Il campione presenta una pasta malleabile, con buona elasticità.",Alleabile,malleabile,2019,C0M,Q_09
54,OK,"Il campione è poco friabile, con una certa compattezza.",Poco friabile,Poco friabile,2019,C0P,TG_04
55,FUORI_ATTRIBUTO,Nessuna grana,No grana,No grana,2019,C0A,TG_19
56,FUORI_ATTRIBUTO,Nessun cristallo,No cristalli,No cristalli,2019,C0B,TG_19
57,OK,"Il campione è poco friabile, mostrando una certa compattezza.",Poco friabile,Poco friabile,2019,C0I,TG_19
58,FUORI_ATTRIBUTO,Nessun cristallo,No cristalli,No cristalli,2019,C0P,TG_19
59,FUORI_ATTRIBUTO,Nessun cristallo,No cristalli,No cristalli,2019,C0R,TG_19
60,FUORI_ATTRIBUTO,Pochi cristalli,Pochi cristalli,Pochi cristalli,2019,C0Q,TG_24
61,FUORI_ATTRIBUTO,Molle,molle,molle,2019,C0H,TG_13
62,FUORI_ATTRIBUTO,Non friabile e senza cristalli,"No friabile, no cristalli","No friabile, no cristalli",2019,C0A,TG_19
63,OK,"La pasta si presenta compatta, con una buona struttura e senza difetti evidenti.",Compatto,Compatto,2019,C0Q,TG_19
64,FUORI_ATTRIBUTO,Poco friabile,Poco friabile,Poco friabile,2019,C0C,TG_04
65,FUORI_ATTRIBUTO,Ingozza,Ingozza,Ingozza,2019,C0E,TG_04
66,OK,"Il campione presenta una pasta poco friabile e granulosa, ben solubile, con cristalli di tirosina.","Poco friabile e Granulosa. Ma ben solubile, con cristalli","Poco friabile e Granulosa. Ma ben solubile, con cristalli",2019,C0H,TG_04
67,OK,"Il campione mostra una pasta poco friabile e granulosa, cedevole, con assenza di cristalli.",Poco friabile e granuloso. Cedevole . Cristalli assenti,Poco friabile e granuloso. Cedevole . Cristalli assenti,2019,C0M,TG_04
68,OK,"Il campione è friabile con piccoli cristalli, presenta una sensazione farinoso e asciutta nel finale.",Friabile con piccoli cristalli. Farinoso ed asciutto nel finale,Friabile con piccoli cristalli. farinososo ed asciutto nel finale,2019,C0N,TG_04
69,OK,"Il campione non è friabile, risulta duro e asciutto, con scarsa solubilità.","Non friabile. Duro, asciutto. Non solubile","Non friabile. Duro, asciutto. Non solubile",2019,C0P,TG_04
70,OK,"La texture è compatta, evidenziando una buona compattezza e una microstruttura uniforme.",Compatto,Compatto,2019,C0M,TG_19
71,FUORI_ATTRIBUTO,Ingozza,Ingozza,Ingozza,2019,C0N,TG_04
72,FUORI_ATTRIBUTO,Poco friabile,Poco friabile,Poco friabile,2019,C0O,TG_04
73,FUORI_ATTRIBUTO,Leggermente allappante,Leggermente allappante,Leggermente allappante,2019,C0N,TG_19
74,OK,"Il campione presenta una pasta compatta e poco friabile, con una microocchiatura uniforme e cristalli di tirosina ben sviluppati.","Compatto, poco friabile","Compatto, poco friabile",2019,C0L,TG_19
75,FUORI_ATTRIBUTO,È poco friabile.,Poco friabile,Poco friabile,2019,C0O,TG_19
76,FUORI_ATTRIBUTO,È solubile.,Solubile,Solubile,2019,C0Q,TG_26
77,FUORI_ATTRIBUTO,Ingozza.,Ingozza,Ingozza,2019,C0E,TG_04
78,OK,Il campione mostra una elevata friabilità e granulosità.,Friabilità e granulosità elevate,Friabilità e granulosità elevate,2019,C0F,TG_04
79,FUORI_ATTRIBUTO,Ingozza.,Ingozza,Ingozza,2019,C0H,TG_04
80,FUORI_ATTRIBUTO,È tenero.,Tenero,Tenero,2020,C0G,TG_04
81,FUORI_ATTRIBUTO,È appena tenero.,Appena tenero,Appena tenero,2020,C0H,TG_04
82,FUORI_ATTRIBUTO,Non è friabile.,Non friabile,Non friabile,2020,C0M,TG_04
83,OK,"Il campione presenta una pasta asciutta, mentre altri dati di texture sono buoni.",Molto asciutto. Altri dati di texture  sono buoni,Molto asciutto. Altri dati di texture  sono buoni,2020,C0F,TG_04
84,FUORI_ATTRIBUTO,Non ha struttura da grana.,Non ha struttura da grana,Non ha struttura da grana,2020,C0O,TG_04
85,ILLEGGIBILE,,Un disastro!,Un disastro!,2020,C0B,TG_24
86,OK,"Il campione mostra un equilibrio nella texture, con una buona compattezza e assenza di difetti.",Equilibrato,Equilibrato,2020,C0N,TG_24
87,FUORI_ATTRIBUTO,È appena appena asciutto.,Appena appena asciutto,Appena appena asciutto,2020,C0P,TG_04
88,FUORI_ATTRIBUTO,"È molto asciutto, quasi secco.",Molto asciutto. Quasi secco,Molto asciutto. Quasi secco,2020,C0Q,TG_04
89,FUORI_ATTRIBUTO,È senza corpo.,Senza corpo,Senza corpo,2020,C0A,TG_19
90,CONFORME,"Il campione risulta conforme, presentando una buona texture senza difetti strutturali.",Nel complesso non male però,Nel complesso non male però,2020,C0A,TG_24
91,FUORI_ATTRIBUTO,Peccato per il tenero.,Peccato per il tenero,Peccato per il tenero,2020,C0N,TG_24
92,OK,Il campione è ben umido e lascia una piacevole sensazione in bocca.,Ben umido. Lascia una bella bocca,Ben umido. Lascia una bella bocca,2020,C0M,TG_04
93,FUORI_ATTRIBUTO,Ingozza.,Ingozza,Ingozza,2020,C0A,TG_04
94,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0M,TG_19
95,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0Q,TG_19
96,OK,"La pasta è molto equilibrata, con una compattezza ottimale e senza difetti.",Molto equilibrato,Molto equilibrato,2020,C0Q,TG_24
97,FUORI_ATTRIBUTO,"È molto solubile, in realtà è troppo solubile.",Molto solubile in realtà è TROPPO SOLUBILE,Molto solubile in realtà è TROPPO SOLUBILE,2020,C0C,TG_28
98,FUORI_ATTRIBUTO,Ingozza.,Ingozza,Ingozza,2020,C0C,TG_04
99,OK,Il campione presenta una pasta molto pastosa.,Molto patatoso,Molto pastoso,2020,C0C,TG_35
100,FUORI_ATTRIBUTO,Ci sono gnocchetti duri.,Presenza di gnocchetti duri,Presenza di gnocchetti duri,2020,C0B,TG_19
101,FUORI_ATTRIBUTO,Sotto i denti non si sentono cristalli molto grossi o perle.,Sotto i denti no sentito cristalli molto grossi o perle,Sotto i denti no sentito cristalli molto grossi o perle,2020,C0A,TG_04
102,ILLEGGIBILE,,Ingozza,Ingozza,2020,C0Q,TG_04
103,OK,"La texture è compatta, con una buona struttura e assenza di difetti.",Compatto,Compatto,2020,C0Q,TG_19
104,FUORI_ATTRIBUTO,È anche patatoso.,Anche patatoso..,Anche pastoso..,2020,C0P,TG_24
105,ILLEGGIBILE,,Ingozza,Ingozza,2020,C0C,TG_04
106,OK,"Il campione presenta una pasta compatta, caratterizzata da una microstruttura uniforme.",Compatto,Compatto,2020,C0N,TG_19
107,OK,"La pasta è compatta, mostrando una buona compattezza e senza difetti evidenti.",Compatto,Compatto,2020,C0P,TG_19
108,OK,"Il campione presenta una pasta troppo friabile, con una microocchiatura non uniforme e cristalli di tirosina poco sviluppati.",Troppo friabile,Troppo friabile,2020,C0G,TG_28
109,OK,"Il campione presenta pochi cristalli e molte perle, con cristalli grandi non ben cristallizzati e una consistenza non scrocchiarelli.","Perplesso. Sembrano pochi cristalli  ma molte perle. Oppure cristalli grandi, non cristallizzato, non scrocchiarelli","Perplesso. Sembrano pochi cristalli  ma molte perle. Oppure cristalli grandi, non cristallizzato, non scrocchiarelli",2020,C0E,TG_04
110,OK,"Il campione contiene perle piuttosto dure, che risultano poco piacevoli alla masticazione.","Contiene perle piuttosto dure, non piacevoli alla masticazione","Contiene perle piuttosto dure, non piacevoli alla masticazione",2020,C0E,TG_14
111,OK,"La texture è pastosa e asciutta, ma nel complesso mantiene una buona qualità.",Pastoso e o asciutto ma nel complesso buono!,Pastoso e o asciutto ma nel complesso buono!,2020,C0D,TG_24
112,OK,"Il campione presenta una leggera schioccantezza, con una microocchiatura uniforme.",Leggermente schioccante,Leggermente schioccante,2020,C0E,TG_24
113,OK,"Peccato per la secchezza, che influisce sulla piacevolezza della pasta.",Peccato per asciutto,Peccato per asciutto,2020,C0M,TG_24
114,OK,"Il campione è un po' troppo umido, ma non presenta bagnato.","Un Po troppo umido, ma non è  bagnato","Un Po troppo umido, ma non è  bagnato",2020,C0E,TG_35
115,OK,"Il campione presenta una leggera sabbiosità, che influisce sulla consistenza.",Leggermente sabbioso,Leggermente sabbioso,2020,C0N,TG_35
116,OK,"Il campione è leggermente duro e schioccante, con una microocchiatura uniforme.",Leggermente  duro e schioccante,Leggermente  duro e schioccante,2020,C0H,TG_24
117,OK,"Il campione è leggermente asciutto, ma non compromette la qualità complessiva.",Leggermente  asciutto!,Leggermente  asciutto!,2020,C0M,TG_24
118,OK,"Il difetto è che il campione risulta troppo tenero, influenzando la struttura.",Difetto é che troppo tenero,Difetto é che troppo tenero,2020,C0G,TG_04
119,OK,"Il campione è poco solubile e asciutto in gola, compromettendo la piacevolezza.",Poco solubile e asciutto in gola,Poco solubile e asciutto in gola,2020,C0Q,TG_04
120,OK,"Il campione è un po' duro, ma non compromette la qualità complessiva.",Un po duro,Un po duro,2020,C0P,TG_35
121,ILLEGGIBILE,,Ingozza,Ingozza,2020,C0E,TG_04
122,OK,"Il campione presenta una pasta che lega in bocca, evidenziando una buona struttura.",Lega in bocca!,Lega in bocca!,2020,C0F,TG_24
123,OK,"Il campione ingozza nel finale, mostrando una buona persistenza al palato.",ingozza nel finale,ingozza nel finale,2020,C0A,TG_04
124,OK,"Il campione è solo un po' tenero, ma mantiene una buona compattezza.",solo un po’ tenero,solo un po’ tenero,2020,C0G,TG_04
125,OK,"Il campione è molto tenero, con una buona sensazione al palato.",Molto tenero,Molto tenero,2020,C0Q,TG_04
126,OK,"Il campione è molto compatto, con una struttura ben definita.",Molto compatto,Molto compatto,2020,C0C,TG_19
127,OK,"La pasta si presenta compatta, con una buona struttura e senza difetti.",Compatto,Compatto,2020,C0N,TG_19
128,OK,"Il campione ha una bella struttura, con una buona consistenza.",Bella struttura,Bella struttura,2020,C0A,TG_24
129,OK,Il campione è leggermente tenero ma presenta una bella struttura.,Leggermente  tenero ma bella struttura,Leggermente  tenero ma bella struttura,2020,C0G,TG_24
130,OK,"La texture è compatta, evidenziando una buona compattezza e assenza di difetti.",Compatto,Compatto,2020,C0B,TG_19
131,OK,"Il campione impasta, mostrando una certa adesività al palato.",Ingrossa un pochetto,impasta,2020,C0M,TG_04
132,OK,"Il campione è molto compatto, con una struttura ben definita.",Molto compatto,Molto compatto,2020,C0M,TG_19
133,FUORI_ATTRIBUTO,"Scricchiola, ma non per cristalli.",Scricchiola ma non per cristalli,Scricchiola ma non per cristalli,2020,C0H,TG_24
134,OK,"Il campione è solo leggermente asciutto o pastoso, senza difetti evidenti.",Solo leggermente  asciutto o pastoso,Solo leggermente  asciutto o pastoso,2020,C0N,TG_24
135,OK,"Il campione presenta una sensazione astringente, che lega la bocca.",Astringente,Astringente,2020,C0I,TG_12
136,OK,"La pasta è compatta, mostrando una buona struttura e senza difetti evidenti.",Compatto,Compatto,2020,C0M,TG_19
137,OK,"La texture è compatta, con una buona compattezza e assenza di difetti.",Compatto,Compatto,2020,C0P,TG_19
138,OK,"Il campione è leggermente asciutto e anche pastoso, ma senza difetti evidenti.",Leggermente  asciutto e anche pastoso,Leggermente  asciutto e anche pastoso,2020,C0M,TG_24
139,OK,"La pasta è forse leggermente tenera, ma mantiene una buona compattezza.",Forse leggermente tenero,Forse leggermente tenero,2020,C0Q,TG_24
140,OK,"Il campione presenta una leggera sensazione sabbiosa, senza difetti evidenti.",Leggermente sabbioso,Leggermente sabbioso,2020,C0F,TG_19
141,OK,"Il campione è leggermente asciutto, ma presenta una buona compattezza.",Leggermente asciutto,Leggermente asciutto,2020,C0F,TG_24
142,FUORI_ATTRIBUTO,"È anche solubile, sebbene leggermente asciutto.",Anche solubile sebbene leggermente  asciutto,Anche solubile sebbene leggermente  asciutto,2020,C0G,TG_24
143,FUORI_ATTRIBUTO,La pasta è stirata.,Pasta stirata,Pasta stirata,2020,C0M,Q_02
144,OK,"La pasta è abbastanza solubile, mostrando una buona struttura.",Abbastanza solubile,Abbastanza solubile,2020,C0H,TG_04
145,FUORI_ATTRIBUTO,Potrebbe essere poco solubile.,Forse anche poco solubile,Forse anche poco solubile,2020,C0E,TG_24
146,FUORI_ATTRIBUTO,Potrebbero esserci pochi cristalli.,Forse pochi cristalli,Forse pochi cristalli,2020,C0H,TG_24
147,FUORI_ATTRIBUTO,Tende ad essere duro.,Tende al duro,Tende al duro,2020,C0M,TG_24
148,ILLEGGIBILE,,"Non ottimale, anzi non bella!","Non ottimale, anzi non bella!",2020,C0P,TG_24
149,FUORI_ATTRIBUTO,È un po' umido.,Un po umido,Un po umido,2020,C0N,TG_35
150,FUORI_ATTRIBUTO,È abbastanza solubile e ingozza.,"Abbastanza solubile, ingozza","Abbastanza solubile, ingozza",2020,C0N,TG_04
151,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0L,TG_19
152,ILLEGGIBILE,,Non ok,Non ok,2020,C0A,TG_24
153,FUORI_ATTRIBUTO,C'è un contrasto tra umidità e untuosità.,Contrasto umidità e untuosita..,Contrasto umidità e untuosita..,2020,C0L,TG_24
154,FUORI_ATTRIBUTO,È leggermente poco solubile e faticoso.,Leggermente  poco solubile e faticoso?,Leggermente  poco solubile e duro,2020,C0O,TG_24
155,ILLEGGIBILE,,Strano!,Strano!,2020,C0R,TG_24
156,FUORI_ATTRIBUTO,Ha anche poca solubilità.,Anche poca solUBILITA!,Anche poca solUBILITA!,2020,C0C,TG_24
157,OK,"Il campione è solo leggermente asciutto, ma mantiene una buona compattezza.",Solo leggermente  asciutto,Solo leggermente  asciutto,2020,C0D,TG_24
158,FUORI_ATTRIBUTO,Ingozza.,Ingozza,Ingozza,2020,C0L,TG_04
159,OK,Il campione presenta una pasta discretamente granulosa e asciuga le fauci.,Discretamente granulosa. Asciuga le fauci,Discretamente granulosa. Asciuga le fauci,2020,C0Q,TG_04
160,FUORI_ATTRIBUTO,È astringente.,Astringente,Astringente,2020,C0A,TG_13
161,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0A,TG_19
162,OK,"La pasta è leggermente asciutta, ma presenta una buona compattezza.",Leggermente  asciutto?,Leggermente  asciutto?,2020,C0L,TG_24
163,FUORI_ATTRIBUTO,È piacevole però.,Piacevole però,Piacevole però,2020,C0R,TG_24
164,OK,"Il campione presenta una buona solubilità, con una pasta compatta e friabile, senza difetti strutturali evidenti.",Discretamente solubile,Discretamente solubile,2020,C0B,TG_04
165,FUORI_ATTRIBUTO,Sembrava avere una grana giovane.,Sembrata grana giovane,Sembrata grana giovane,2020,C0A,TG_14
166,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0B,TG_19
167,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0M,TG_19
168,OK,"Il campione presenta una pasta con una sensazione di astringenza, che lega la bocca, senza difetti strutturali evidenti.",Lega la bocca,Lega la bocca,2020,C0B,TG_24
169,OK,"Il campione presenta una leggera asciuttezza, che potrebbe influenzare la percezione complessiva della texture.",Solo leggermente asciutto,Solo leggermente asciutto,2020,C0C,TG_24
170,FUORI_ATTRIBUTO,Potrebbe essere pastoso.,Forse  pastoso,Forse  pastoso,2020,C0E,TG_24
171,OK,"Il campione presenta una pasta con una certa adesività, che incolla la bocca, senza difetti strutturali evidenti.",Anche adesivo,Anche adesivo,2020,C0M,TG_24
172,OK,"Il campione presenta una buona friabilità, con una pasta compatta e friabile, senza difetti strutturali evidenti.",Abbastanza friabile,Abbastanza friabile,2020,C0A,TG_04
173,OK,"Il campione presenta una buona friabilità, con una pasta compatta e friabile, senza difetti strutturali evidenti.",Leggermente friabile,Leggermente friabile,2020,C0H,TG_04
174,OK,"Il campione presenta una buona solubilità, con una pasta compatta e friabile, senza difetti strutturali evidenti.",Buona solubilità,Buona solubilità,2020,C0P,TG_04
175,OK,Il campione presenta una pasta compatta.,Compatto,Compatto,2020,C0A,TG_19
176,FUORI_ATTRIBUTO,Potrebbe essere un po' tenero e asciutto.,Forse un po'  tenero e asciutto,Forse un po'  tenero e asciutto,2020,C0H,TG_24
177,OK,"Il campione presenta una pasta con una sensazione di astringenza, che lega la bocca, senza difetti strutturali evidenti.",Lega in bocca,Lega in bocca,2020,C0N,TG_24
178,FUORI_ATTRIBUTO,È strano ma interessante.,Strano ma interessante,Strano ma interessante,2020,C0P,TG_24
179,FUORI_ATTRIBUTO,È controverso.,Controverso,Controverso,2020,C0C,TG_24
180,OK,"Il campione presenta una buona solubilità, ma risulta leggermente asciutto, con una pasta compatta e friabile, senza difetti strutturali evidenti.",Anche buona solubilita! Peccato per asciutto,Anche buona solubilita! Peccato per asciutto,2020,C0F,TG_24
181,FUORI_ATTRIBUTO,È leggermente pastoso.,Leggermente  pastoso,Leggermente  pastoso,2020,C0L,TG_24
182,OK,"Il campione presenta una pasta che impasta la bocca, con una texture che suggerisce una certa adesività.",Impasta la bocca,Impasta la bocca,2020,C0C,TG_24
183,FUORI_ATTRIBUTO,Ha una consistenza strana.,Consistenza strana,Consistenza strana,2020,C0M,TG_24
184,FUORI_ATTRIBUTO,È fastidioso in bocca.,Fastidioso in bocca,Fastidioso in bocca,2020,C0P,TG_24
185,FUORI_ATTRIBUTO,Ci sono quasi troppi cristalli.,Quasi troppi cristalli...,Quasi troppi cristalli...,2020,C0E,TG_35
186,OK,"Il campione mostra una media solubilità e friabilità, con una pasta che si sbriciola in bocca.",Media solvibilità e friabilita,Media solvibilità e friabilita,2020,C0A,TG_24
187,FUORI_ATTRIBUTO,La consistenza è strana.,Strana consistenza,Strana consistenza,2020,C0M,TG_24
188,ILLEGGIBILE,,Pessima,Pessima,2020,C0Q,TG_24
189,FUORI_ATTRIBUTO,"È interessante, anche se asciutta.",Interessante anche se asciutta,Interessante anche se asciutta,2020,C0I,TG_24
190,FUORI_ATTRIBUTO,È leggermente asciutta.,Leggermente  asciutto,Leggermente  asciutto,2020,C0G,TG_24
191,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0N,TG_14
192,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0P,TG_14
193,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0M,TG_14
194,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0F,TG_04
195,FUORI_ATTRIBUTO,"Ci sono cristalli, anche troppi.",Cristalli anche troppi,Cristalli anche troppi,2021,C0G,TG_19
196,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0M,TG_14
197,CONFORME,"Il campione mostra una texture mediamente conforme, senza evidenti difetti strutturali.",Gestire mediocre,Gestire mediocre,2021,C0A,TG_19
198,OK,Il campione presenta una pasta asciutta.,Asciutto,Asciutto,2021,C0P,TG_14
199,CONFORME,"Il campione si presenta senza particolari pregi o difetti, conforme agli standard di qualità.",Senza infamia senza lode,Senza infamia senza lode,2021,C0D,TG_19
200,OK,"Il campione presenta una granulosità irregolare, con una texture non uniforme.",Granulosità irregolare,Granulosità irregolare,2021,C0Q,TG_14
201,FUORI_ATTRIBUTO,La texture è irregolare.,Texture irregolare,Texture irregolare,2021,C0Q,TG_14
202,OK,"Il campione evidenzia una texture asciutta, che potrebbe risultare poco gradevole al palato.",Asciutto,Asciutto,2021,C0M,TG_28
203,OK,"La pasta del campione è asciutta, con una sensazione di secchezza al palato.",Asciutto,Asciutto,2021,C0O,TG_19
204,FUORI_ATTRIBUTO,Sembra più giovane.,Sembra più giovane,Sembra più giovane,2021,C0F,TG_19
205,OK,"Il campione mostra una texture asciutta, che potrebbe influenzare la sua piacevolezza.",Asciutto,Asciutto,2021,C0P,TG_04
206,OK,"La pasta è asciutta, con una sensazione di secchezza che potrebbe non risultare gradevole.",Asciutto,Asciutto,2021,C0G,TG_04
207,OK,"Il campione presenta una texture asciutta, che potrebbe compromettere l'esperienza gustativa.",Asciutto,Asciutto,2021,C0A,TG_35
208,OK,"La pasta è asciutta, con una sensazione di secchezza al palato.",Asciutto,Asciutto,2021,C0Q,TG_04
209,OK,"Il campione è secco e presenta una texture poco piacevole, che influisce sulla degustazione.","Secco, non piacevole","Secco, non piacevole",2021,C0Q,TG_19
210,RIFERIMENTO,,Modificare voto 6 e non 7 Grazie,Modificare voto 6 e non 7 Grazie,2021,C0B,Q_02
211,OK,"Il campione presenta una texture non omogenea, molle con pezzi duri, che si spappola senza essere granulosa.","Texture non omogenea,  molle con pezzi duri , si spappola senza essere granulosa","Texture non omogenea,  molle con pezzi duri , si spappola senza essere granulosa",2021,C0E,TG_14
212,OK,"La pasta del campione è asciutta, contribuendo a una sensazione di secchezza in bocca.",Asciutto,Asciutto,2021,C0B,TG_04
213,OK,"Il campione lascia una sensazione di asciuttezza in bocca, che potrebbe non essere apprezzata.",Lascia la bocca asciutta,Lascia la bocca asciutta,2021,C0I,TG_04
214,OK,"Non presenta cristalli, ma è probabile la presenza di molte perle di tirosina.","Non cristalli, Ma probabile molte perle di tirosina","Non cristalli, Ma probabile molte perle di tirosina",2021,C0E,TG_04
215,OK,"Il campione presenta una texture asciutta, che potrebbe risultare poco gradevole al palato.",Asciutto,Asciutto,2021,C0C,TG_04
216,OK,Sento la presenza di perle di tirosina.,Sento le perle,Sento le perle,2021,C0C,TG_04
217,OK,Sento la presenza di perle di tirosina.,Sento le perle,Sento le perle,2021,C0C,TG_04
218,OK,"La pasta è asciutta, contribuendo a una sensazione di secchezza al palato.",Asciutto,Asciutto,2021,C0R,TG_04
219,OK,Le perle di tirosina risultano fastidiose.,Perle fastidiose,perle fastidiose,2021,C0G,TG_19
