attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Texture
Texture,TN305_2019-10-23,8.0,TN305,C0C,TG_19,2019-10-23,2019,OK,Il campione presenta cristalli quasi assenti e una pasta compatta.,"Cristalli quasi assenti, compatto","Cristalli quasi assenti, compatto",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN316_2019-10-23,9.0,TN316,C0L,TG_19,2019-10-23,2019,OK,"Il campione è poco granuloso, con una texture relativamente uniforme.",Poco granuloso,Poco granuloso,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5b_TN316_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN305_2019-10-23,10.0,TN305,C0C,TG_24,2019-10-23,2019,OK,Il campione presenta pochi cristalli.,Pochi cristalli,Pochi cristalli ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN310_2019-10-30,11.0,TN310,C0F,Q_02,2019-10-30,2019,ILLEGGIBILE,,Difficile da giudicare perché immasticabile,Difficile da giudicare perché immagiabile ,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN328_2019-10-30,12.0,TN328,C0P,TG_11,2019-10-30,2019,OK,Il campione è malleabile e deformabile.,Mmalleabile deformabile,Malleabile deformabile,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN311_2019-11-06,13.0,TN311,C0G,Q_09,2019-11-06,2019,OK,Il campione è indeformabile e presenta una consistenza plastica.,Indeformabile plastico,Indeformabile plastico,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P2a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P2a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P2a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P2b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P2a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P2b_TN311_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN314_2019-11-06,14.0,TN314,C0I,Q_09,2019-11-06,2019,OK,Il campione non è friabile e non presenta granulosità.,Non friabile non granuloso,Non friabile non granuloso,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P4a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P4a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4b_TN314_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN314_2019-11-06,15.0,TN314,C0I,TG_11,2019-11-06,2019,OK,Il campione evidenzia una mancanza di cristalli.,Mancanza di cristalli,Mancanza di cristalli ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P4a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P4a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P4b_TN314_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN313_2019-11-06,16.0,TN313,C0H,TG_19,2019-11-06,2019,FUORI_ATTRIBUTO,Non è granuloso.,Non granuloso,Non granuloso,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P3a_TN313_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P3a_TN313_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P3a_TN313_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P3b_TN313_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P3a_TN313_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P3b_TN313_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN326_2019-11-13,17.0,TN326,C0O,Q_09,2019-11-13,2019,OK,Il campione è deformabile.,Deformabile,Deformabile,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN307_2019-11-13,18.0,TN307,C0E,Q_09,2019-11-13,2019,OK,Il campione è deformabile.,Deformabile,Deformabile,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN319_2019-11-13,19.0,TN319,C0M,Q_09,2019-11-13,2019,OK,Il campione è poco friabile.,Poco friabile,Poco friabile ,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN326_2019-11-13,20.0,TN326,C0O,TG_14,2019-11-13,2019,OK,Il campione non è friabile e presenta una pasta compatta.,"Non friabile, compatto","Non friabile, compatto",1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN302_2019-11-13,21.0,TN302,C0A,TG_19,2019-11-13,2019,FUORI_ATTRIBUTO,Non ha granulosità.,Senza granulosità,Senza granulosità ,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN314_2019-11-13,22.0,TN314,C0I,TG_19,2019-11-13,2019,FUORI_ATTRIBUTO,Assenza di granulosità.,Non granulosità,Non granulosità ,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN307_2019-11-13,23.0,TN307,C0E,TG_19,2019-11-13,2019,FUORI_ATTRIBUTO,Non ci sono granulosità.,No granulosità,No granulosità ,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN314_2019-11-20,24.0,TN314,C0I,Q_02,2019-11-20,2019,FUORI_ATTRIBUTO,È solubile.,Solubile,Solubile ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P2a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P2a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2b_TN314_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN311_2019-11-20,25.0,TN311,C0G,Q_09,2019-11-20,2019,FUORI_ATTRIBUTO,È deformabile.,Deformabile,Deformabile,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P1a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P1a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1b_TN311_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Texture.csv,
Texture,TN311_2019-11-20,26.0,TN311,C0G,TG_08,2019-11-20,2019,FUORI_ATTRIBUTO,Manca di cristalli.,Manca di cristalli,Manca di cristalli,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P1a_TN311_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P1a_TN311_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1a_TN311_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1b_TN311_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1a_TN311_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P1b_TN311_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Texture.csv,
