id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
116,FUORI_ATTRIBUTO,Il colore della sottocrosta è grigiastro.,Colore sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2021,C0P,Q_09
117,FUORI_ATTRIBUTO,Il colore della sottocrosta è grigiastro.,Colore sottocrosta grigiastro,Colore sottocrostarosta grigiastro,2021,C0M,Q_09
118,FUORI_ATTRIBUTO,"Il colore è strano e diverso nei due piatti, tendente al verde.",Colore strano è diverso nei due piatti tendente al verde,Colore strano è diverso nei due piatti tendente al verde,2021,C0M,TG_19
119,OK,"Il campione presenta angoli ben definiti, conformi alle attese per la stagionatura del Grana Trentino DOP.",Begli angoli,Begli angoli,2021,C0G,TG_04
120,FUORI_ATTRIBUTO,"Il colore è sfumato su una base scura, difficile vedere dove finisce.",Colore sfumato su base scura difficile vedere dove finisce,Colore sfumato su base scura differenzaicile vedere dove finisce,2021,C0N,Q_09
121,FUORI_ATTRIBUTO,È difficile vedere lo spessore a causa della disidratazione della pasta.,Difficile vedere lo spessore a causa della disidratazione della pasta,differenzaicile vedere lo spessore a causa della disidratazione della pasta,2021,C0C,Q_09
122,FUORI_ATTRIBUTO,C'è un colore diverso fra i due scalzi.,Divero colore fra i due scalzi,Divero colore fra i due scalzi,2021,C0G,TG_19
123,FUORI_ATTRIBUTO,Sullo scalzo il colore della sottocrosta è rosato.,Sullo scalzo colore sottocrosta rosato,Sullo scalzo colore sottocrostarosta rosato,2021,C0O,Q_09
124,CONFORME,"La crosta del campione è ben formata e presenta un aspetto piacevole, conforme alle attese per il Grana Trentino DOP.",Un piatto molto bello,Un piatto molto bello,2021,C0O,TG_04
125,FUORI_ATTRIBUTO,È carico ma sottile.,Carico ma sottile,Carico ma sottile,2021,C0F,TG_19
126,FUORI_ATTRIBUTO,È chiara ma spessa.,Chiara ma spessa,Chiara ma spessa,2021,C0Q,TG_19
127,FUORI_ATTRIBUTO,Il colore della pasta è carico.,Colore carico della pasta,Colore carico della pasta,2021,C0R,Q_09
128,FUORI_ATTRIBUTO,"Un piatto è orrendo, mentre gli scalzi sono belli.","1 piatto orrendo, scalzi belli","1 piatto irregolare, scalzi belli",2021,C0Q,TG_04
129,FUORI_ATTRIBUTO,Il colore di fondo è carico.,Colore di fondo carico,Colore di fondo carico,2021,C0A,Q_09
130,FUORI_ATTRIBUTO,Il colore della pasta è molto carico e lo stacco tra crosta e pasta si vede poco.,Colore pasta molto carico lo stacco tra crosta e pasta si vede poco,Colore pasta molto carico lo stacco tra crosta e pasta si vede poco,2021,C0C,Q_09
131,FUORI_ATTRIBUTO,"Sotto la crosta c'è una macchia nera sullo scalzo, potrebbe essere marciume?","Sotto crosta macchiato di nero sullo scalzo, marciume?","Sotto crosta macchiato di nero sullo scalzo, marciume?",2021,C0Q,TG_28
132,FUORI_ATTRIBUTO,Ci sono tare nella crosta e nella sottocrosta.,Tare nella crosta e Sottocrosta,Tare nella crosta e sottocrostarosta,2021,C0Q,TG_19
133,OK,"La crosta è di un colore chiaro, che suggerisce una buona qualità del formaggio.",Chiaro,Chiaro,2021,C0A,TG_19
134,FUORI_ATTRIBUTO,È piuttosto grossa.,Piuttosto grossa,Piuttosto grossa,2021,C0H,TG_24
135,FUORI_ATTRIBUTO,Il colore di fondo è scuro.,Colore di fondo scuro,Colore di fondo scuro,2021,C0A,Q_09
136,FUORI_ATTRIBUTO,Il colore di fondo è carico.,Colore di fondo carico,Colore di fondo carico,2021,C0A,Q_09
137,FUORI_ATTRIBUTO,Il colore di fondo è carico.,Colore fondo carico,Colore fondo carico,2021,C0C,Q_09
138,OK,"La crosta del campione è chiara, indicando una buona qualità e conformità alle attese.",Chiaro,Chiaro,2021,C0A,TG_19
139,FUORI_ATTRIBUTO,"Spigoli sopra 20 mm e piatto di circa 10 mm, media 12 mm.",Spigoli sopra 20mm Piatto 10mm circa  Media 12mm,Spigoli sopra 20mm Piatto 10mm circa  Media 12mm,2018,C0A,Q_02
140,FUORI_ATTRIBUTO,"Qui i piatti misurano 0,8 cm e sugli scalzi 1,4 cm.","0,8 cm qui piatti e 1,4 sugli scalzi","molto sottile qui piatti e 1,4 sugli scalzi",2018,C0A,Q_09
141,FUORI_ATTRIBUTO,"Disomogenea, con zone anche inferiori a 7 mm e altre fino a 14 mm.",Disomogenea. In zone anche inferiore  a 7 km. In altre fino a 14 mm,Disomogenea. In zone anche inferiore  a 7 mm. In altre fino a 14 mm,2018,C0A,TG_04
142,FUORI_ATTRIBUTO,"Non è omogenea lateralmente, risulta più grossa.",Non è omogenea lateralmente più  grossa,Non è omogenea lateralmente più  grossa,2018,C0A,TG_08
143,FUORI_ATTRIBUTO,Piatti senza crosta.,Piatti senza crosta,Piatti senza crosta,2018,C0A,TG_11
144,OK,"La crosta del campione presenta uno spessore molto sottile, non conforme alle attese per la stagionatura del Grana Trentino DOP.",1cm,molto sottile,2018,C0A,TG_19
145,OK,"La crosta è bella e presenta uno spessore di poco inferiore a 10mm, conforme alle aspettative.","Bella, poco meno di 10mm","Bella, poco meno di 10mm",2018,C0A,TG_20
146,OK,"La crosta presenta uno spessore maggiore negli angoli, mediamente 1 cm, conforme alle attese per la stagionatura del Grana Trentino DOP.",Maggiormente negli angoli ma mediamente 1 cm,Maggiormente negli angoli ma mediamente 1 cm,2018,C0A,TG_24
147,OK,"La crosta del campione è molto sottile sui piatti, non conforme alle attese per la stagionatura del Grana Trentino DOP.",Molto sottile su i piatti,Molto sottile su i piatti,2018,C0A,TG_35
148,OK,"La crosta presenta spigoli dai 15 ai 20 mm e un piatto di circa 9 mm, con una media di 10 mm, conforme alle attese per la stagionatura del Grana Trentino DOP.",Spigoli dai 15 ai 20mm  Piatto 9mm circa  Media 10mm,Spigoli dai 15 ai 20mm  Piatto 9mm circa  Media 10mm,2018,C0C,Q_02
149,FUORI_ATTRIBUTO,"Misura 0,7 cm per i piatti e 1,5 cm per gli angoli.","0,7  piatti 1,5 angoli","0,7  piatti 1,5 angoli",2018,C0C,Q_09
150,OK,"La crosta ha uno spessore medio di 1cm, in linea con le attese per il Grana Trentino DOP.",Media  1cm,Media  1cm,2018,C0C,TG_08
151,CONFORME,"Il campione presenta una crosta abbastanza regolare, conforme alle specifiche del Grana Trentino DOP.",Abbastanza regolare,Abbastanza regolare,2018,C0C,TG_11
152,OK,"La crosta ha uno spessore compreso tra 9 e 10mm, conforme alle attese per la stagionatura.",9 10 mm,nella norma 10 mm,2018,C0C,TG_19
153,OK,"La crosta presenta una marcatura piuttosto evidente, soprattutto su un lato, fino a 12 mm, non conforme alle attese per la stagionatura del Grana Trentino DOP.","Piuttosto marcata soprattutto  su un lato, fino a 12mm","Piuttosto marcata soprattutto  su un lato, fino a 12mm",2018,C0C,TG_20
154,FUORI_ATTRIBUTO,"Su due lati è piatta, ma sugli altri e negli angoli è elevata, con media pari a 1.",Su due lati ella ma sugli altri e negli angoli elevata media pari a 1,Su due lati ella ma sugli altri e negli angoli elevata media pari a 1,2018,C0C,TG_24
155,OK,"La crosta presenta uno spessore abbastanza omogeneo su entrambi gli sbalzi e piatti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Spessore abbastanza omogeneo su entrambi gli sbalzi e piatti,Spessore abbastanza omogeneo su entrambi gli sbalzi e piatti,2018,C0C,TG_35
156,OK,"La crosta presenta spigoli accentuati da circa 2 cm e uno spessore medio di 1 cm, conforme alle attese per la stagionatura del Grana Trentino DOP.",Spigoli accentuati da circa 2cm spessore medio 1cm,Spigoli accentuati da circa 2cm spessore medio 1cm,2018,C0D,Q_02
157,FUORI_ATTRIBUTO,"1,2 cm su un lato e 1,4 cm sull'altro, con netto colore sottocrosta.","1,2 su 1 lato 1,4 sull'altro netto colore sottocrosta","1,2 su 1 lato 1,4 sull'altro netto colore sottocrostarosta",2018,C0D,Q_09
158,OK,"La crosta del campione è superiore ai 14 mm, non conforme alle attese per la stagionatura del Grana Trentino DOP.","Superiore ai 14 km, sempre","Superiore ai 14 mm, sempre",2018,C0D,TG_04
159,OK,"La crosta è disomogenea e superiore a 10 mm, non conforme alle attese per la stagionatura del Grana Trentino DOP.",Disomogeneo e superiore a 10 mm,Disomogeneo e superiore a 10 mm,2018,C0D,TG_08
160,OK,"La crosta presenta uno spessore sottile, non conforme alle attese per la stagionatura del Grana Trentino DOP.",Piatti sottili,Piatti sottili,2018,C0D,TG_11
161,OK,"La crosta del campione misura 12mm, conforme alle attese per il Grana Trentino DOP.",12mm,nella normamm,2018,C0D,TG_13
162,OK,"La crosta presenta uno spessore di 10-11mm, in linea con le specifiche di qualità.",10 11 mm,nella norma 11 mm,2018,C0D,TG_19
163,OK,"La crosta è sottile, con uno spessore di 10 mm e presenta un colore evidente.","Crosta evidente  per colore, ma sottile, 10mm","Crosta evidente  per colore, ma sottile, 10mm",2018,C0D,TG_20
164,FUORI_ATTRIBUTO,"Non omogenea sui lati, con media maggiore di 1,2 cm.",Non omogenea suk lati media maggiore di 1.2 cm,Non omogenea suk lati media maggiore di 1.2 cm,2018,C0D,TG_24
165,FUORI_ATTRIBUTO,"Spigoli dai 15 ai 22 mm, piatti dai 8 agli 11 mm, crosta di spessore non omogeneo, media 12 mm, colore della crosta evidente con note verdi.",Spigoli dai 15 ai 22mm  Piatti dai 8 ai 11mm   Crosta di spessore non omogeneo  Media 12mm  Il colore della crosta è evidente e con note verdi,Spigoli dai 15 ai 22mm  Piatti dai 8 ai 11mm   Crosta di spessore non omogeneo  Media 12mm  Il colore della crosta è evidente e con note verdi,2018,C0I,Q_02
166,ILLEGGIBILE,,"1,2","1,2",2018,C0I,Q_09
167,OK,Tre lati su quattro presentano una crosta molto spessa.,3 lati su 4 molto spessa.,3 lati su 4 molto spessa.,2018,C0I,TG_04
