attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Unnamed: 7,Profumo
Profumo,TN314_2019-09-25,9.0,TN314,C0I,TG_20,2019-09-25,2019,OK,Si percepisce una quasi nota acetica.,Quasi nota acetica,Quasi nota acetica ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P3a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P3a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P3b_TN314_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN330_2019-09-25,10.0,TN330,C0Q,TG_20,2019-09-25,2019,OK,Il profumo è poco intenso.,Poco intenso,Poco intenso,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-09-25_Seduta_04/P5a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-09-25_Seduta_04\\P5b_TN330_Grana.bmp""]",4.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN323_2019-10-02,11.0,TN323,C0N,TG_14,2019-10-02,2019,OK,Su uno dei pezzi si notano note di ossidato.,"Su uno dei pezzi, note di ossidato","Su uno dei pezzi, note di ossidato",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN326_2019-10-02,12.0,TN326,C0O,TG_24,2019-10-02,2019,ILLEGGIBILE,,Y0gurth,Y0gurth,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P6a_TN326_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P6a_TN326_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6a_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P6b_TN326_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN306_2019-10-02,13.0,TN306,C0D,TG_26,2019-10-02,2019,OK,Il profumo è intenso.,Intenso,Intenso,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P2b_TN306_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN323_2019-10-02,14.0,TN323,C0N,TG_26,2019-10-02,2019,OK,Presenta note di miele e un'intensità elevata.,"Miele,intenso","Miele,intenso",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/I bimestre/2019-10-02_Seduta_05/P5a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\I bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-02_Seduta_05\\P5b_TN323_Grana.bmp""]",5.0,I,2017-12-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN306_2019-10-09,15.0,TN306,C0D,Q_09,2019-10-09,2019,OK,Il campione ha un profumo leggero.,Leggero,Leggero,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN323_2019-10-09,16.0,TN323,C0N,Q_09,2019-10-09,2019,OK,"Leggero, con una nota pungente all'inizio che ricorda il burro.","Leggero, pungente all'inizio da butirrico?","Leggero, pungente all'inizio da butirrico?",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN306_2019-10-09,17.0,TN306,C0D,TG_13,2019-10-09,2019,OK,Il profumo è neutro.,Neutro,Neutro,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN330_2019-10-09,18.0,TN330,C0Q,TG_14,2019-10-09,2019,OK,"Presenta note erbacee, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca.","Erbacea alo, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca","Erbacea alo, apertura della vaschetta, ossidato e crosta dominanti su frattura fresca",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN330_2019-10-09,19.0,TN330,C0Q,TG_24,2019-10-09,2019,OK,Si percepiscono note di nocciola.,Nocciola,Nocciola,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
Profumo,TN306_2019-10-09,20.0,TN306,C0D,TG_26,2019-10-09,2019,OK,Odore di cavolo cotto.,Cavolo cotto,Cavolo cotto,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Profumo.csv,,
