attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Aroma
Aroma,TN306_2019-10-09,10.0,TN306,C0D,TG_35,2019-10-09,2019,OK,"Si percepisce una leggera fermentazione, che contribuisce alla complessità dell'aroma.",Leggera fermentazione,Leggera fermentazione ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P2a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P2b_TN306_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN330_2019-10-09,11.0,TN330,C0Q,TG_35,2019-10-09,2019,OK,"Il campione presenta un leggero affumicato, che arricchisce l'aroma senza sovrastare le note tipiche.",Leggero affumicato,Leggero affumicato,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P4a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P4b_TN330_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,,,,,,2019-10-16,2019,,,,,,False,False,False,False,False,,,,,7.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN305_2019-10-23,12.0,TN305,C0C,TG_04,2019-10-23,2019,ILLEGGIBILE,,Oggi sono raffreddato,Oggi sono raffreddato,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P2a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P2b_TN305_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN313_2019-10-23,13.0,TN313,C0H,TG_08,2019-10-23,2019,OK,"L'aroma è molto debole, con una scarsa complessità che non rispecchia le caratteristiche del Grana Trentino.",Molto debole,Molto debole ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P4a_TN313_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P4a_TN313_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P4a_TN313_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P4b_TN313_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P4a_TN313_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P4b_TN313_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN306_2019-10-23,14.0,TN306,C0D,TG_19,2019-10-23,2019,OK,"Si avvertono note di erbe amare, che aggiungono una dimensione interessante all'aroma.",Erbe amare,Erbe amare,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P3a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P3a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3b_TN306_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN310_2019-10-30,15.0,TN310,C0F,Q_02,2019-10-30,2019,OK,Si avverte un aroma immangiabile con evidenti note di fermentazione anomala.,Immangiabile  Fermentazione da Clostridium sporogenes,Immangiabile  Fermentazione da Clostridium sporogenes ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN330_2019-11-06,16.0,TN330,C0Q,TG_14,2019-11-06,2019,OK,"La texture è troppo friabile, il che influisce negativamente sull'esperienza aromatica.","Texture  da modificare, troppo friabile.","Texture  da modificare, troppo friabile.",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P6a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P6a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6b_TN330_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN330_2019-11-06,17.0,TN330,C0Q,TG_26,2019-11-06,2019,OK,"Si percepisce un sentore metallico, che non è caratteristico del Grana Trentino.",Metallico,Metallico,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P6a_TN330_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P6a_TN330_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6a_TN330_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6b_TN330_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6a_TN330_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P6b_TN330_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN305_2019-11-06,18.0,TN305,C0C,TG_28,2019-11-06,2019,OK,"L'aroma è poco persistente e svanisce rapidamente, non mantenendo le caratteristiche attese.","Poco persistente, sparisce subito","Poco persistente, sparisce subito",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P1a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-11-06_Seduta_10/P1a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P1a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P1b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P1a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-11-06_Seduta_10\\P1b_TN305_Grana.bmp""]",10.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,,,,,,2019-11-13,2019,,,,,,False,False,False,False,False,,,,,11.0,II,2018-02-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN314_2019-11-20,19.0,TN314,C0I,Q_02,2019-11-20,2019,OK,Provolone o nostrano lievemente piccante.,Provolone o nostrano lievemente piccante,Provolone o nostrano lievemente piccante ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P2a_TN314_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P2a_TN314_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2a_TN314_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2b_TN314_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2a_TN314_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P2b_TN314_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN305_2019-11-27,20.0,TN305,C0C,TG_28,2019-11-27,2019,OK,"L'aroma è troppo volatile e sfugge rapidamente, non permettendo una valutazione adeguata.","Troppo volatile, sfugge subito","Troppo volatile, sfugge subito",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P3a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P3a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3b_TN305_Grana.bmp""]",13.0,III,2018-04-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN328_2019-12-04,21.0,TN328,C0P,TG_19,2019-12-04,2019,OK,Il campione presenta una solubilità poco marcata.,Poco solubile,Poco solubile,1.0,True,False,False,False,False,,,[],[],14.0,III,2018-04-01,Commenti liberi_QTG_2019_Aroma.csv,
Aroma,TN306_2019-12-04,22.0,TN306,C0D,TG_08,2019-12-04,2019,OK,"Il campione mostra lievi note stallatiche, ma non su tutti i pezzi.",Leggermente da sstalla ma non su tutti i pezzi,Leggermente da stalla ma non su tutti i pezzi,1.0,True,False,False,False,False,,,[],[],14.0,III,2018-04-01,Commenti liberi_QTG_2019_Aroma.csv,
