attributo,sample_id,caption_id,codice_caseificio,Prodotto,Panelista,Data Seduta di valutazione,anno,classe,caption,commento_prenorm,Commenti,peso,has_caption,has_images,has_fetta,has_grana,has_both_views,path_fetta_primaria,path_grana_primaria,paths_fetta_tutti,paths_grana_tutti,N° Seduta,Bimestre di Valutazione,Data Produzione,_source_file,Sapore
Sapore,TN323_2019-10-09,9.0,TN323,C0N,TG_13,2019-10-09,2019,OK,È insapore.,Insapore,Insapore ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN323_2019-10-09,10.0,TN323,C0N,TG_24,2019-10-09,2019,OK,Ha un leggero retrogusto amaro.,Leggero  amaro,Leggero  amaro,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-09_Seduta_06/P3a_TN323_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3a_TN323_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-09_Seduta_06\\P3b_TN323_Grana.bmp""]",6.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,,,,,,2019-10-16,2019,,,,,,False,False,False,False,False,,,,,7.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN304_2019-10-23,11.0,TN304,C0B,TG_08,2019-10-23,2019,OK,Ha poco sapore.,"Poco umami,","Poco Miami,",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P1a_TN304_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P1a_TN304_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P1a_TN304_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P1b_TN304_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P1a_TN304_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P1b_TN304_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN306_2019-10-23,12.0,TN306,C0D,TG_08,2019-10-23,2019,OK,"È amaro, con il salato che rispetta finemente il piccante.","Amaro, e il salato finemente rispetto al piccantecante","Amaro, e il salato finemente rispetto al piccante ",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P3a_TN306_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P3a_TN306_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3a_TN306_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3b_TN306_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3a_TN306_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P3b_TN306_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN316_2019-10-23,13.0,TN316,C0L,TG_08,2019-10-23,2019,OK,"C'è un buon equilibrio, ma manca il dolce ed è un po' troppo amaro.","Buon equilibratorio, manca il dolce, e un po' troppo amaro","Buon equilibrio, manca il dolce, e un po' troppo amaro ",1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-23_Seduta_08/P5a_TN316_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5a_TN316_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5b_TN316_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5a_TN316_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-23_Seduta_08\\P5b_TN316_Grana.bmp""]",8.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN310_2019-10-30,14.0,TN310,C0F,Q_02,2019-10-30,2019,ILLEGGIBILE,,Difficile da giudicare perché immangiabile,Difficile da giudicare perché immangiabile ,1.0,False,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P2a_TN310_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2a_TN310_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P2b_TN310_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN326_2019-10-30,15.0,TN326,C0O,Q_02,2019-10-30,2019,OK,Il pizzicore moderato alla lingua sovrasta.,Il pizzicore moderato alla lingua sovrasta,Il pizzicore moderato alla lingua sovrasta,1.0,True,False,False,False,False,,,[],[],9.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN328_2019-10-30,16.0,TN328,C0P,TG_11,2019-10-30,2019,OK,È poco salato.,Poco salato,Poco salato ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN328_2019-10-30,17.0,TN328,C0P,TG_13,2019-10-30,2019,OK,Presenta astringenza.,Astringente,Astringente ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/II bimestre/2019-10-30_Seduta_09/P5a_TN328_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5a_TN328_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\II bimestre\\2019-10-30_Seduta_09\\P5b_TN328_Grana.bmp""]",9.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,,,,,,2019-11-06,2019,,,,,,False,False,False,False,False,,,,,10.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN314_2019-11-13,18.0,TN314,C0I,TG_19,2019-11-13,2019,OK,È dolciastro più che dolce.,Dolciastro più che.dolce,Dolciastro più che.dolce,1.0,True,False,False,False,False,,,[],[],11.0,II,2018-02-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN326_2019-11-20,19.0,TN326,C0O,Q_02,2019-11-20,2019,OK,È equilibrato.,equilibratorato,Equilibrato,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P4a_TN326_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P4a_TN326_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P4a_TN326_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P4b_TN326_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P4a_TN326_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P4b_TN326_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN338_2019-11-20,20.0,TN338,C0R,TG_11,2019-11-20,2019,OK,È poco salato.,Poco salato,Poco salato ,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P6a_TN338_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-20_Seduta_12/P6a_TN338_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P6a_TN338_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P6b_TN338_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P6a_TN338_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-20_Seduta_12\\P6b_TN338_Grana.bmp""]",12.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN305_2019-11-27,21.0,TN305,C0C,TG_19,2019-11-27,2019,OK,Non ha caratteristiche da formaggio grana.,Non da grana,Non da grana,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P3a_TN305_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P3a_TN305_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3a_TN305_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3b_TN305_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3a_TN305_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P3b_TN305_Grana.bmp""]",13.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN304_2019-11-27,22.0,TN304,C0B,TG_28,2019-11-27,2019,OK,Il sapore presenta una piccantezza fortissima e persistente nel finale.,piccantecante fortissimo e persistente,Piccante fortissimo e persistente,1.0,True,True,True,True,True,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P2a_TN304_Fetta.bmp,07_captioning risultati grana Trentino/TrentinGrana/2019-2020_Trentingrana/III bimestre/2019-11-27_Seduta_13/P2a_TN304_Grana.bmp,"[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P2a_TN304_Fetta.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P2b_TN304_Fetta.bmp""]","[""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P2a_TN304_Grana.bmp"", ""07_captioning risultati grana Trentino\\TrentinGrana\\2019-2020_Trentingrana\\III bimestre\\2019-11-27_Seduta_13\\P2b_TN304_Grana.bmp""]",13.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN307_2019-12-04,23.0,TN307,C0E,TG_08,2019-12-04,2019,OK,Il sapore risulta leggermente eccessivo nella componente piccante.,Un Po troppo piccantecante,Un Po troppo piccante,1.0,True,False,False,False,False,,,[],[],14.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN328_2019-12-04,24.0,TN328,C0P,TG_08,2019-12-04,2019,CONFORME,Il Grana Trentino DOP si distingue per un equilibrio gustativo che soddisfa le aspettative di un formaggio di qualità.,Buon equilibratorio,Buon equilibrio ,0.5,True,False,False,False,False,,,[],[],14.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
Sapore,TN313_2019-12-04,25.0,TN313,C0H,TG_08,2019-12-04,2019,OK,"Il sapore del Grana Trentino DOP si presenta equilibrato, ma con una piccantezza che risulta eccessiva.",Un Po in eccesso il piccantecante,Un Po in eccesso il piccante ,1.0,True,False,False,False,False,,,[],[],14.0,III,2018-04-01,Commenti liberi_QTG_2019_Sapore.csv,
